trialNumber,duration,stimOnset,stimOffset,rt,iti,shape
1,1.50847457627119,377064.6605983,377066.2097404,0,0.508474576271186,circle
2,1,377067.1706122,377068.2053733,0,0.542372881355932,circle
3,1,377069.7144808,377070.7493287,0,0.661016949152542,circle
4,1,377072.3773383,377073.414346,0,1.15254237288136,square
5,1.50847457627119,377075.5322426,377077.0756064,2.77041769999778,1.23728813559322,circle
6,1.50847457627119,377078.7714211,377080.3151055,0.483340999984648,1.15254237288136,circle
7,1,377081.925211,377082.9601045,0.425535199989099,0.949152542372881,circle
8,1.50847457627119,377084.8758375,377086.4190621,0,1.05084745762712,circle
9,1.50847457627119,377087.9280394,377089.4712066,0,0.796610169491525,circle
10,1.50847457627119,377090.7270466,377092.2697912,0,1.23728813559322,square
11,1,377093.9656037,377095.0003949,0,0.694915254237288,square
12,1,377096.6621482,377097.6965013,0,1.1864406779661,square
13,1.50847457627119,377099.8500499,377101.3936306,0,0.677966101694915,square
14,1.50847457627119,377102.5298388,377104.0727655,0,0.864406779661017,square
15,1,377105.3953511,377106.4297996,0,1.11864406779661,circle
16,1.50847457627119,377108.5153878,377110.0581544,0,1.28813559322034,square
17,1,377111.8049189,377112.8396241,0,0.576271186440678,circle
18,1,377114.3825242,377115.4166671,0,1.42372881355932,square
19,1.50847457627119,377117.807876,377119.3513806,0,1.27118644067797,square
20,1.50847457627119,377121.080324,377122.62397,0,0.983050847457627,circle
21,1.50847457627119,377124.0646842,377125.6085712,0,0.932203389830508,square
22,1,377126.9979437,377128.0324475,0,0.949152542372881,circle
23,1,377129.9488851,377130.9834214,0,0.813559322033898,square
24,1.50847457627119,377132.7636923,377134.3073966,0,1.01694915254237,circle
25,1.50847457627119,377135.7821104,377137.324926,0,1.01694915254237,square
26,1.50847457627119,377138.8003357,377140.3435802,0,1.32203389830508,circle
27,1.50847457627119,377142.1234636,377143.6661394,0,1.28813559322034,square
28,1.50847457627119,377145.4127917,377146.9558858,0,1.15254237288136,circle
29,0,0,0,0,0,
30,0,0,0,0,0,
31,0,0,0,0,0,
32,0,0,0,0,0,
33,0,0,0,0,0,
34,0,0,0,0,0,
35,0,0,0,0,0,
36,0,0,0,0,0,
37,0,0,0,0,0,
38,0,0,0,0,0,
39,0,0,0,0,0,
40,0,0,0,0,0,
